mode,b_tokens,step,gap_ms
disaggregated-thread,4096,25,14.28592599999945
disaggregated-thread,4096,26,14.399711999999454
disaggregated-thread,4096,27,14.000636000005784
disaggregated-thread,4096,28,13.723419999998043
disaggregated-thread,4096,29,13.738973999998905
disaggregated-thread,4096,30,13.709863999999072
disaggregated-thread,4096,31,13.664935999997851
disaggregated-thread,4096,32,13.961381000001438
disaggregated-thread,4096,33,13.816544000000874
disaggregated-thread,4096,34,13.773559999997076
disaggregated-thread,4096,35,13.647758000004728
disaggregated-thread,4096,36,13.80847400000107
disaggregated-thread,4096,37,13.675129999995761
disaggregated-thread,4096,38,13.956557000000203
disaggregated-thread,4096,39,13.741815999999574
disaggregated-thread,4096,40,14.019572999998786
disaggregated-thread,4096,41,13.776117000006138
disaggregated-thread,4096,42,13.792042999995147
disaggregated-thread,4096,43,13.767263000005414
disaggregated-thread,4096,44,13.743597999997803
disaggregated-thread,4096,45,13.82363999999825
disaggregated-thread,4096,46,13.795534000003329
disaggregated-thread,4096,47,13.72884699999588
disaggregated-thread,4096,48,13.749205999999958
disaggregated-thread,4096,49,13.623893000001885
disaggregated-thread,4096,50,13.733574999996279
disaggregated-thread,4096,51,13.674860000001843
disaggregated-thread,4096,52,14.065155000004381
disaggregated-thread,4096,53,13.892983999994613
disaggregated-thread,4096,54,14.027279000004
disaggregated-thread,4096,55,14.412428999996507
disaggregated-thread,4096,56,14.224953999999457
disaggregated-thread,4096,57,14.412753000001999
disaggregated-thread,4096,58,14.33601600000145
disaggregated-thread,4096,59,14.205310000001248
disaggregated-thread,4096,60,14.086792999997044
disaggregated-thread,4096,61,14.645426999997824
disaggregated-thread,4096,62,13.90061900000461
disaggregated-thread,4096,63,14.575043999997206
disaggregated-thread,4096,64,13.872480000003407
disaggregated-thread,4096,65,13.91314800000032
disaggregated-thread,4096,66,13.993878999997378
disaggregated-thread,4096,67,14.012563999997951
disaggregated-thread,4096,68,16.104292000001408
disaggregated-thread,4096,69,13.829155000003368
disaggregated-thread,4096,70,13.811523999997632
disaggregated-thread,4096,71,13.880071999999188
disaggregated-thread,4096,72,13.78914400000042
disaggregated-thread,4096,73,13.927088000002641
disaggregated-thread,4096,74,13.964187999995659
disaggregated-thread,4096,75,14.721272999999258
disaggregated-thread,4096,76,13.946733000004485
disaggregated-thread,4096,77,13.797253999996428
disaggregated-thread,4096,78,13.869214000003183
disaggregated-thread,4096,79,13.759541999995406
disaggregated-thread,4096,80,14.131962000000442
disaggregated-thread,4096,81,13.85754500000047
disaggregated-thread,4096,82,13.932275000001937
disaggregated-thread,4096,83,13.803817999999524
disaggregated-thread,4096,84,13.995104000002812
disaggregated-thread,4096,85,13.888860999998087
disaggregated-thread,4096,86,16.15478600000131
disaggregated-thread,4096,87,13.573692000001358
disaggregated-thread,4096,88,13.881818999998075
disaggregated-thread,4096,89,13.713821999999709
disaggregated-thread,4096,90,13.836681999997325
disaggregated-thread,4096,91,13.973765000002913
disaggregated-thread,4096,92,13.830499000000884
disaggregated-thread,4096,93,13.870124000000317
disaggregated-thread,4096,94,13.848752999997771
disaggregated-thread,4096,95,13.799040000002094
disaggregated-thread,4096,96,13.659055999994507
disaggregated-thread,4096,97,13.799380000001804
disaggregated-thread,4096,98,13.87240700000092
disaggregated-thread,4096,99,14.158239000003903
disaggregated-process,4096,0,14.143146999998635
disaggregated-process,4096,1,13.876332999998908
disaggregated-process,4096,2,14.084484999997926
disaggregated-process,4096,3,13.882997000003172
disaggregated-process,4096,4,13.75777100000164
disaggregated-process,4096,5,13.676558999996757
disaggregated-process,4096,6,13.901398000001564
disaggregated-process,4096,7,13.776671999998769
disaggregated-process,4096,8,13.738414999998838
disaggregated-process,4096,9,13.97761500000172
disaggregated-process,4096,10,13.705546000004176
disaggregated-process,4096,11,13.846087999993983
disaggregated-process,4096,12,13.682191000000898
disaggregated-process,4096,13,13.75679299999888
disaggregated-process,4096,14,13.919276999999397
disaggregated-process,4096,15,13.922412000006545
disaggregated-process,4096,16,13.74779100000012
disaggregated-process,4096,17,13.68761599999857
disaggregated-process,4096,18,13.971087999998133
disaggregated-process,4096,19,14.637372999999343
disaggregated-process,4096,20,18.654691000001833
disaggregated-process,4096,21,18.17108699999892
disaggregated-process,4096,22,20.764677000002507
disaggregated-process,4096,23,21.365020999994044
disaggregated-process,4096,24,21.578576000003125
disaggregated-process,4096,25,19.893869999997094
disaggregated-process,4096,26,19.067225000000576
disaggregated-process,4096,27,18.965020000003108
disaggregated-process,4096,28,19.28640900000289
disaggregated-process,4096,29,21.364439999999263
disaggregated-process,4096,30,23.272554999998363
disaggregated-process,4096,31,16.94057199999577
disaggregated-process,4096,32,14.237363000006553
disaggregated-process,4096,33,17.673309999999276
disaggregated-process,4096,34,17.1427109999982
disaggregated-process,4096,35,14.770636000001502
disaggregated-process,4096,36,14.150376999999992
disaggregated-process,4096,37,14.366266999999766
disaggregated-process,4096,38,14.140062999999259
disaggregated-process,4096,39,14.30952999999846
disaggregated-process,4096,40,13.493074000002991
disaggregated-process,4096,41,14.159858999995834
disaggregated-process,4096,42,14.341776000001971
disaggregated-process,4096,43,14.189105999996343
disaggregated-process,4096,44,14.265865000005817
disaggregated-process,4096,45,14.37142399999658
disaggregated-process,4096,46,14.370012999997073
disaggregated-process,4096,47,14.123596000004568
disaggregated-process,4096,48,14.236986999996759
disaggregated-process,4096,49,14.259686000002603
